model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
efficientnet_b0,52,configs/efficientnet_b0_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 384, 'learning_rate': 0.1}","{'batch_size': 384}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.799,0.1,3.0671,3.1781,10141872128.0,3522560.0,8122368.0,2760595268.0,169.4809,298.965,53.2333,61.0,44.0667,100.0,19194380288.0,19194380288.0,19194380288.0,0.1061,0.1092,0.1061,0.0785
2,4.2876,0.1,2.8602,3.3,10145222656.0,0.0,0.0,2760595268.0,178.0393,294.306,54.3929,60.0,48.9286,100.0,19999686656.0,19999686656.0,19999686656.0,0.187,0.1888,0.187,0.1552
3,4.0422,0.1,2.9976,3.1688,10413850624.0,0.0,0.0,2760595268.0,171.1824,297.883,54.069,61.0,48.8966,100.0,20001783808.0,20001783808.0,20001783808.0,0.2217,0.2444,0.2217,0.1976
4,3.8844,0.1,2.9531,3.1437,10414063616.0,0.0,0.0,2760595268.0,173.1371,277.56,54.2414,62.0,47.4828,100.0,20001783808.0,20001783808.0,20001783808.0,0.2565,0.2726,0.2565,0.2336
5,3.7767,0.1,2.9932,3.1406,10414264320.0,0.0,8192.0,2760595268.0,171.7921,299.78,54.2414,62.0,48.0345,100.0,20001783808.0,20001783808.0,20001783808.0,0.2797,0.3084,0.2797,0.2571
6,3.7052,0.1,3.7741,3.1875,10415337472.0,0.0,294912.0,2760595268.0,149.8895,298.161,52.8919,61.0,37.7297,100.0,20001783808.0,20001783808.0,20001783808.0,0.2835,0.3318,0.2835,0.2699
7,3.6495,0.1,2.786,3.3312,10417852416.0,0.0,278528.0,2760595268.0,180.1385,300.124,55.037,62.0,50.1481,100.0,20001783808.0,20001783808.0,20001783808.0,0.2887,0.3527,0.2887,0.2767
8,3.6112,0.1,3.5871,3.3813,10436251648.0,0.0,217088.0,2760595268.0,149.6379,286.21,53.1429,61.0,37.7143,100.0,20001783808.0,20001783808.0,20001783808.0,0.3148,0.3536,0.3148,0.3019
9,3.5741,0.1,3.6198,3.3312,10452021248.0,0.0,0.0,2760595268.0,149.5751,296.784,53.0571,61.0,37.7714,100.0,20001783808.0,20001783808.0,20001783808.0,0.3259,0.3638,0.3259,0.3119
10,3.5472,0.1,3.5748,3.4188,10469007360.0,0.0,12288.0,2760595268.0,156.5388,277.218,53.3429,61.0,38.2286,100.0,20001783808.0,20001783808.0,20001783808.0,0.3459,0.3794,0.3459,0.3246
11,3.5309,0.1,2.9174,3.2656,10472206336.0,0.0,0.0,2760595268.0,168.8431,296.517,54.2143,61.0,47.5,100.0,20001783808.0,20001783808.0,20001783808.0,0.3227,0.3931,0.3227,0.3152
12,3.5101,0.1,3.4725,3.5187,10481917952.0,0.0,290816.0,2760595268.0,157.5786,278.444,53.5294,61.0,38.3824,100.0,20001783808.0,20001783808.0,20001783808.0,0.3297,0.3789,0.3297,0.3133
13,3.4905,0.1,2.9576,3.1594,10486800384.0,0.0,0.0,2760595268.0,172.4366,299.196,54.2069,61.0,48.4138,100.0,20001783808.0,20001783808.0,20001783808.0,0.3561,0.39,0.3561,0.3428
14,3.4713,0.1,3.0713,3.1437,10494279680.0,0.0,278528.0,2760595268.0,164.5157,293.662,54.0667,61.0,43.3333,100.0,20001783808.0,20001783808.0,20001783808.0,0.357,0.3898,0.357,0.3394
15,3.45,0.1,2.9977,3.1781,10496102400.0,0.0,16384.0,2760595268.0,169.726,296.298,54.5172,61.0,48.3793,100.0,20001783808.0,20001783808.0,20001783808.0,0.3448,0.3974,0.3448,0.3335
16,3.4376,0.1,3.3917,3.5562,10497318912.0,0.0,0.0,2760595268.0,155.538,296.551,53.5455,60.0,41.6364,100.0,20001783808.0,20001783808.0,20001783808.0,0.3663,0.4156,0.3663,0.357
17,3.4259,0.1,3.5719,3.3687,10499239936.0,0.0,557056.0,2760595268.0,151.7891,284.443,53.4,59.0,40.5143,100.0,20001783808.0,20001783808.0,20001783808.0,0.3635,0.4036,0.3635,0.3525
18,3.412,0.1,2.8227,3.3094,10499239936.0,0.0,0.0,2760595268.0,178.6523,300.183,54.8519,61.0,47.7778,100.0,20001783808.0,20001783808.0,20001783808.0,0.3735,0.4201,0.3735,0.364
19,3.3908,0.1,3.4679,3.5312,10499346432.0,0.0,0.0,2760595268.0,159.3855,292.717,53.4412,61.0,41.7059,100.0,20001783808.0,20001783808.0,20001783808.0,0.3727,0.417,0.3727,0.3578
20,3.3769,0.1,3.5709,3.3781,10499354624.0,0.0,0.0,2760595268.0,155.0004,269.647,53.4,60.0,38.3143,100.0,20001783808.0,20001783808.0,20001783808.0,0.3795,0.4236,0.3795,0.3659
