model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
efficientnet_b0,62,configs/efficientnet_b0_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 384, 'learning_rate': 0.1}","{'batch_size': 384}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,4.7935,0.1,4.535,3.3563,9870725120.0,3846144.0,0.0,2760595268.0,140.4726,248.378,51.9318,58.0,31.5909,99.0,19966132224.0,19966132224.0,19966132224.0,0.108,0.1114,0.108,0.0751
2,4.2713,0.1,4.2132,3.45,10145079296.0,0.0,0.0,2760595268.0,151.7741,275.157,52.5366,59.0,33.7073,100.0,19999686656.0,19999686656.0,19999686656.0,0.1604,0.1948,0.1604,0.1389
3,4.0244,0.1,3.1271,3.4562,10164912128.0,0.0,0.0,2760595268.0,170.9084,269.967,53.9333,60.0,44.0333,99.0,20066795520.0,20066795520.0,20066795520.0,0.2307,0.2612,0.2307,0.2076
4,3.8725,0.1,3.5339,3.2437,10183413760.0,0.0,0.0,2760595268.0,158.8729,297.628,53.4412,59.0,39.4412,99.0,20066795520.0,20066795520.0,20066795520.0,0.2466,0.2828,0.2466,0.2257
5,3.7661,0.1,4.0448,3.5531,10196660224.0,0.0,0.0,2760595268.0,153.4065,267.381,52.8462,59.0,32.6667,99.0,20066795520.0,20066795520.0,20066795520.0,0.2693,0.3036,0.2693,0.2487
6,3.6944,0.1,3.5108,3.2313,10206838784.0,0.0,0.0,2760595268.0,160.3329,297.081,53.5,60.0,40.2353,99.0,20066795520.0,20066795520.0,20066795520.0,0.2876,0.3297,0.2876,0.2695
7,3.6464,0.1,4.0453,3.6313,10215141376.0,0.0,0.0,2760595268.0,156.6767,277.534,53.2051,59.0,33.3077,99.0,20066795520.0,20066795520.0,20066795520.0,0.2928,0.3261,0.2928,0.2763
8,3.6029,0.1,4.2404,3.3469,10220130304.0,0.0,8192.0,2760595268.0,148.5666,268.331,52.3902,58.0,31.878,99.0,20167458816.0,20167458816.0,20167458816.0,0.2906,0.3523,0.2906,0.2783
9,3.5702,0.1,3.2571,3.3094,10220134400.0,0.0,0.0,2760595268.0,160.3059,293.533,53.5484,60.0,41.6452,99.0,20167458816.0,20167458816.0,20167458816.0,0.314,0.3448,0.314,0.2976
10,3.5413,0.1,3.1365,3.5469,10221838336.0,0.0,0.0,2760595268.0,167.4508,278.551,54.0667,60.0,43.1333,100.0,20167458816.0,20167458816.0,20167458816.0,0.3054,0.3739,0.3054,0.2966
11,3.5183,0.1,3.2298,3.4813,10223108096.0,0.0,0.0,2760595268.0,165.3356,299.3,53.6452,59.0,42.0968,99.0,20167458816.0,20167458816.0,20167458816.0,0.3292,0.3673,0.3292,0.3149
12,3.5009,0.1,4.2426,3.4625,10223173632.0,0.0,20480.0,2760595268.0,149.7398,272.243,52.3659,59.0,31.7317,99.0,20167458816.0,20167458816.0,20167458816.0,0.2903,0.3812,0.2903,0.2769
13,3.4849,0.1,4.3432,3.3813,10223366144.0,0.0,16384.0,2760595268.0,152.264,281.656,52.3333,58.0,33.3095,99.0,20167458816.0,20167458816.0,20167458816.0,0.3472,0.3781,0.3472,0.3298
14,3.469,0.1,3.232,3.325,10223378432.0,0.0,0.0,2760595268.0,167.8782,299.336,53.6774,60.0,43.9355,99.0,20167458816.0,20167458816.0,20167458816.0,0.3216,0.3695,0.3216,0.3086
15,3.443,0.1,3.498,3.1719,10223427584.0,0.0,241664.0,2760595268.0,158.8494,296.821,53.4706,60.0,40.1471,99.0,20167458816.0,20167458816.0,20167458816.0,0.3678,0.3978,0.3678,0.3514
16,3.4303,0.1,3.0906,3.4969,10223501312.0,0.0,393216.0,2760595268.0,175.1426,274.33,54.4333,60.0,46.5667,99.0,20167458816.0,20167458816.0,20167458816.0,0.3631,0.4115,0.3631,0.3492
17,3.4184,0.1,4.1345,3.5375,10223501312.0,0.0,405504.0,2760595268.0,154.5811,270.757,53.025,60.0,32.1,99.0,20167458816.0,20167458816.0,20167458816.0,0.3595,0.4156,0.3595,0.3489
18,3.402,0.1,3.0437,3.4813,10223583232.0,0.0,0.0,2760595268.0,173.9671,286.62,54.4483,60.0,45.3793,99.0,20167458816.0,20167458816.0,20167458816.0,0.376,0.4214,0.376,0.3612
19,3.3889,0.1,3.1403,3.4031,10223742976.0,0.0,0.0,2760595268.0,170.1696,295.577,54.0667,59.0,44.9,100.0,20167458816.0,20167458816.0,20167458816.0,0.3466,0.3813,0.3466,0.3317
20,3.3704,0.1,4.3344,3.425,10223792128.0,16384.0,0.0,2760595268.0,147.6641,269.26,52.5476,59.0,31.9286,99.0,20167458816.0,20167458816.0,20167458816.0,0.3734,0.4168,0.3734,0.3578
21,3.3564,0.1,3.1433,3.4406,10223824896.0,0.0,0.0,2760595268.0,170.195,294.384,53.7667,58.0,42.2333,99.0,20167458816.0,20167458816.0,20167458816.0,0.3684,0.4112,0.3684,0.3539
22,3.3411,0.1,3.0916,3.375,10223869952.0,0.0,0.0,2760595268.0,170.4317,299.326,54.0667,59.0,45.9333,99.0,20167458816.0,20167458816.0,20167458816.0,0.3869,0.4157,0.3869,0.3758
23,3.3278,0.1,3.136,3.4469,10223919104.0,0.0,0.0,2760595268.0,171.901,282.782,54.3,60.0,45.8333,99.0,20167458816.0,20167458816.0,20167458816.0,0.3945,0.4321,0.3945,0.3833
24,3.3161,0.1,3.1267,3.4469,10224111616.0,0.0,0.0,2760595268.0,171.5337,278.547,53.8667,59.0,44.6333,99.0,20167458816.0,20167458816.0,20167458816.0,0.4057,0.4345,0.4057,0.3909
25,3.3012,0.1,4.1477,3.45,10224181248.0,0.0,0.0,2760595268.0,150.5776,261.176,52.775,59.0,32.075,99.0,20167458816.0,20167458816.0,20167458816.0,0.4111,0.4423,0.4111,0.3991
26,3.2958,0.1,3.0902,3.5094,10224914432.0,0.0,0.0,2760595268.0,171.8947,281.991,53.8333,59.0,45.5333,99.0,20167458816.0,20167458816.0,20167458816.0,0.3808,0.4343,0.3808,0.3707
27,3.2914,0.1,4.1425,3.4312,10224939008.0,0.0,0.0,2760595268.0,156.3625,265.038,52.475,57.0,34.9,99.0,20167458816.0,20167458816.0,20167458816.0,0.4014,0.4429,0.4014,0.3894
28,3.2803,0.1,3.1279,3.4656,10224939008.0,0.0,16384.0,2760595268.0,172.0677,278.577,54.0,60.0,45.9,99.0,20167458816.0,20167458816.0,20167458816.0,0.3964,0.4386,0.3964,0.3821
29,3.2715,0.1,4.1153,3.5063,10224939008.0,0.0,16384.0,2760595268.0,151.8425,277.997,52.85,59.0,33.625,99.0,20167458816.0,20167458816.0,20167458816.0,0.4193,0.4538,0.4193,0.4097
30,3.26,0.01,3.2321,3.375,10229817344.0,0.0,0.0,2760595268.0,171.1265,296.278,53.9355,60.0,43.9355,99.0,20167458816.0,20167458816.0,20167458816.0,0.3971,0.4467,0.3971,0.3947
31,2.9856,0.01,4.2392,3.4562,10229825536.0,0.0,237568.0,2760595268.0,148.4751,267.232,52.6098,59.0,31.3659,99.0,20167458816.0,20167458816.0,20167458816.0,0.5214,0.5154,0.5214,0.5112
32,2.8898,0.01,4.121,3.6156,10229837824.0,0.0,389120.0,2760595268.0,158.1731,263.771,52.525,59.0,33.85,99.0,20167458816.0,20167458816.0,20167458816.0,0.5341,0.5285,0.5341,0.5248
33,2.8553,0.01,3.14,3.4125,10229837824.0,0.0,389120.0,2760595268.0,173.613,289.077,54.0333,59.0,44.9,99.0,20167458816.0,20167458816.0,20167458816.0,0.5362,0.5339,0.5362,0.5287
34,2.8371,0.01,3.1522,3.3906,10229841920.0,0.0,0.0,2760595268.0,171.9514,282.517,54.1333,60.0,44.0667,99.0,20167458816.0,20167458816.0,20167458816.0,0.5386,0.5368,0.5386,0.5312
35,2.8173,0.01,3.3452,3.25,10229846016.0,0.0,0.0,2760595268.0,163.5703,298.369,53.8125,60.0,40.5938,99.0,20167458816.0,20167458816.0,20167458816.0,0.543,0.5389,0.543,0.5347
36,2.8095,0.01,2.982,3.5,10229903360.0,0.0,0.0,2760595268.0,179.8244,277.658,54.5517,61.0,46.3103,100.0,20167458816.0,20167458816.0,20167458816.0,0.5449,0.5405,0.5449,0.5366
37,2.8029,0.01,3.6951,3.6437,10229907456.0,0.0,0.0,2760595268.0,163.8739,262.31,53.4722,60.0,36.0,99.0,20167458816.0,20167458816.0,20167458816.0,0.5492,0.5479,0.5492,0.5421
38,2.7908,0.01,3.8678,3.5938,10230083584.0,0.0,0.0,2760595268.0,159.9097,267.685,53.3684,59.0,37.2105,99.0,20167458816.0,20167458816.0,20167458816.0,0.5483,0.5459,0.5483,0.539
39,2.7809,0.01,4.1392,3.5719,10230091776.0,0.0,0.0,2760595268.0,154.6226,277.935,52.725,59.0,32.675,99.0,20167458816.0,20167458816.0,20167458816.0,0.5532,0.5522,0.5532,0.5459
40,2.7742,0.01,3.2296,3.3656,10230095872.0,0.0,0.0,2760595268.0,166.8426,294.577,54.0323,60.0,43.8065,99.0,20167458816.0,20167458816.0,20167458816.0,0.5526,0.5521,0.5526,0.5452
41,2.7657,0.01,3.3285,3.2281,10230124544.0,0.0,0.0,2760595268.0,159.5572,297.74,53.6875,60.0,42.6562,99.0,20167458816.0,20167458816.0,20167458816.0,0.5514,0.5487,0.5514,0.5437
42,2.7614,0.01,3.2322,3.325,10230124544.0,0.0,0.0,2760595268.0,167.6703,297.408,54.0323,60.0,43.4194,99.0,20167458816.0,20167458816.0,20167458816.0,0.5607,0.5609,0.5607,0.5553
43,2.7548,0.01,3.0812,3.6,10230345728.0,0.0,0.0,2760595268.0,172.3377,286.935,53.9333,60.0,43.0,99.0,20167458816.0,20167458816.0,20167458816.0,0.5526,0.5526,0.5526,0.5447
44,2.7491,0.01,3.1302,3.4625,10230382592.0,0.0,0.0,2760595268.0,174.8617,284.222,54.0667,60.0,46.0,99.0,20167458816.0,20167458816.0,20167458816.0,0.5551,0.5546,0.5551,0.5469
45,2.7471,0.01,3.231,3.3375,10230419456.0,0.0,0.0,2760595268.0,167.7707,294.698,53.2581,60.0,44.0,99.0,20167458816.0,20167458816.0,20167458816.0,0.5547,0.5538,0.5547,0.5471
46,2.7364,0.01,4.2652,3.4719,10230480896.0,0.0,323584.0,2760595268.0,149.6182,277.592,52.439,59.0,32.2439,99.0,20167458816.0,20167458816.0,20167458816.0,0.556,0.558,0.556,0.5502
47,2.7336,0.01,3.4109,3.225,10230530048.0,0.0,0.0,2760595268.0,164.1602,299.012,53.3333,60.0,40.4848,99.0,20167458816.0,20167458816.0,20167458816.0,0.5553,0.5591,0.5553,0.5486
48,2.7335,0.01,4.235,3.3719,10230800384.0,0.0,0.0,2760595268.0,150.0392,264.553,52.5366,59.0,32.0488,99.0,20167458816.0,20167458816.0,20167458816.0,0.5563,0.5588,0.5563,0.5501
49,2.723,0.01,3.2584,3.3188,10230861824.0,0.0,0.0,2760595268.0,167.2373,298.307,53.8387,60.0,46.4839,99.0,20167458816.0,20167458816.0,20167458816.0,0.5472,0.556,0.5472,0.5415
50,2.721,0.01,3.2331,3.3531,10230906880.0,0.0,0.0,2760595268.0,165.744,296.054,53.6452,60.0,43.0323,99.0,20167458816.0,20167458816.0,20167458816.0,0.5574,0.558,0.5574,0.5493
51,2.7189,0.01,3.2413,3.3531,10230956032.0,0.0,0.0,2760595268.0,165.5184,283.874,53.6452,59.0,43.4194,99.0,20167458816.0,20167458816.0,20167458816.0,0.5605,0.564,0.5605,0.5543
52,2.7168,0.01,3.2682,3.1938,10231001088.0,0.0,40960.0,2760595268.0,165.547,299.015,53.75,60.0,41.75,99.0,20167458816.0,20167458816.0,20167458816.0,0.5565,0.562,0.5565,0.551
53,2.7195,0.01,3.0401,3.5875,10231054336.0,0.0,0.0,2760595268.0,173.2878,284.27,54.2414,60.0,45.5862,99.0,20167458816.0,20167458816.0,20167458816.0,0.5532,0.5605,0.5532,0.5481
54,2.7109,0.01,4.1614,3.5375,10231091200.0,0.0,0.0,2760595268.0,151.0158,271.184,52.825,59.0,33.975,99.0,20167458816.0,20167458816.0,20167458816.0,0.5583,0.5652,0.5583,0.5526
