Phase,Epoch,Elapsed Time Seconds,Cpu Usage Percent,Ram Usage Bytes,Vram Usage Bytes,Accuracy,Precision,Recall,F1 Score,model_name,config_path,train_data_path,val_data_path,model_params,train_params,inference_params
Training,1,23.565,3.025,,,0.0053,1.0,0.0053,0.0105,,,,,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Training,2,23.4226,3.1417,,,0.0055,1.0,0.0055,0.0109,,,,,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Save Model,,511.6102,7.8417,,,,,,,,,,,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Inference,,23.1663,2.8583,,,0.0055,1.0,0.0055,0.0109,,,,,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
