model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
shufflenet_v2,42,configs/shufflenet_v2_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 512, 'learning_rate': 0.1}","{'batch_size': 512}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
26,3.472,0.1,5.9634,4.0438,10805223424.0,0.0,151552.0,1124251316.0,74.0957,132.976,45.0339,49.0,11.8983,98.0,5833424896.0,5833424896.0,5833424896.0,0.2757,0.3469,0.2757,0.2576
27,3.4604,0.1,6.1468,3.7938,10805239808.0,0.0,151552.0,1124251316.0,74.3942,144.635,44.5902,47.0,11.377,99.0,5833424896.0,5833424896.0,5833424896.0,0.3373,0.3807,0.3373,0.3223
28,3.4463,0.1,6.143,3.8687,10805248000.0,0.0,86016.0,1124251316.0,72.1692,132.305,44.4262,47.0,10.1639,99.0,5833424896.0,5833424896.0,5833424896.0,0.2912,0.3686,0.2912,0.2718
29,3.4441,0.1,6.0459,3.8375,10805297152.0,0.0,196608.0,1124251316.0,74.1617,127.353,44.4333,48.0,11.7,98.0,5833424896.0,5833424896.0,5833424896.0,0.303,0.3686,0.303,0.2887
30,3.431,0.01,6.1546,3.7687,10805465088.0,0.0,151552.0,1124251316.0,77.2287,132.519,44.3279,49.0,11.623,99.0,5833424896.0,5833424896.0,5833424896.0,0.3209,0.3813,0.3209,0.31
31,3.2164,0.01,6.1381,3.775,10805452800.0,0.0,163840.0,1124251316.0,74.7594,116.371,44.0164,48.0,11.9836,98.0,5833424896.0,5833424896.0,5833424896.0,0.4361,0.4286,0.4361,0.4213
32,3.1461,0.01,6.0449,3.8375,10807132160.0,0.0,135168.0,1124251316.0,75.0641,143.384,43.8167,47.0,11.7333,99.0,5833424896.0,5833424896.0,5833424896.0,0.436,0.4333,0.436,0.4236
33,3.1232,0.01,6.1571,3.7875,10811506688.0,0.0,135168.0,1124251316.0,74.0315,132.474,43.8033,47.0,12.5902,99.0,5833424896.0,5833424896.0,5833424896.0,0.4454,0.4395,0.4454,0.4322
34,3.1087,0.01,6.1482,3.7938,10811527168.0,0.0,139264.0,1124251316.0,76.9784,132.118,43.8033,47.0,11.3934,77.0,5833424896.0,5833424896.0,5833424896.0,0.4422,0.4412,0.4422,0.4305
35,3.0909,0.01,6.0517,3.9125,10811527168.0,0.0,135168.0,1124251316.0,74.1646,132.485,46.5167,51.0,11.8,99.0,5833424896.0,5833424896.0,5833424896.0,0.452,0.4507,0.452,0.4421
36,3.0783,0.01,6.0382,3.8062,10814230528.0,0.0,135168.0,1124251316.0,74.6646,133.017,44.9833,48.0,13.3333,98.0,5833424896.0,5833424896.0,5833424896.0,0.4517,0.4501,0.4517,0.4405
37,3.071,0.01,5.9582,3.9875,10823442432.0,0.0,135168.0,1124251316.0,72.7531,128.469,44.678,48.0,11.9322,99.0,5833424896.0,5833424896.0,5833424896.0,0.4514,0.4503,0.4514,0.441
38,3.0563,0.01,6.1671,3.7375,10825293824.0,0.0,135168.0,1124251316.0,74.6673,143.998,44.4754,49.0,11.5738,99.0,5833424896.0,5833424896.0,5833424896.0,0.4545,0.4549,0.4545,0.4436
39,3.0491,0.01,6.1512,3.7375,10825302016.0,0.0,135168.0,1124251316.0,74.7317,132.865,44.2459,48.0,10.7049,99.0,5833424896.0,5833424896.0,5833424896.0,0.4576,0.4543,0.4576,0.4463
40,3.0462,0.01,6.2376,3.75,10825310208.0,0.0,135168.0,1124251316.0,74.3669,140.984,44.0,47.0,11.3548,99.0,5833424896.0,5833424896.0,5833424896.0,0.4589,0.4604,0.4589,0.4486
41,3.0422,0.01,6.1407,3.7875,10825318400.0,0.0,155648.0,1124251316.0,73.6157,122.755,44.2131,49.0,12.6557,98.0,5833424896.0,5833424896.0,5833424896.0,0.4583,0.4589,0.4583,0.4487
