model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
shufflenet_v2,52,configs/shufflenet_v2_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 512, 'learning_rate': 0.1}","{'batch_size': 512}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.1822,0.1,6.1302,3.8125,10746916864.0,0.0,28479488.0,1124251316.0,73.7179,142.054,27.6557,32.0,11.8361,99.0,5462097920.0,5462097920.0,5462097920.0,0.0332,0.0271,0.0332,0.0154
2,4.8181,0.1,5.8504,4.125,10748624896.0,0.0,147456.0,1124251316.0,77.8333,133.446,28.6034,33.0,11.9483,98.0,5462097920.0,5462097920.0,5462097920.0,0.045,0.0466,0.045,0.0288
3,4.5806,0.1,5.8317,3.9,10750423040.0,0.0,200704.0,1124251316.0,76.8838,124.041,29.5,34.0,8.8966,99.0,5831196672.0,5831196672.0,5831196672.0,0.0948,0.0879,0.0948,0.0671
4,4.4043,0.1,5.7326,4.0312,10750500864.0,0.0,10690560.0,1124251316.0,76.892,143.583,29.7193,34.0,10.6316,99.0,5831196672.0,5831196672.0,5831196672.0,0.1379,0.1526,0.1379,0.1135
5,4.2572,0.1,5.7346,4.0125,10750582784.0,0.0,26726400.0,1124251316.0,81.698,161.197,30.386,35.0,11.2281,99.0,5831196672.0,5831196672.0,5831196672.0,0.1375,0.1595,0.1375,0.1161
6,4.1427,0.1,5.63,4.1312,10750705664.0,0.0,2457600.0,1124251316.0,77.6352,146.62,30.4821,34.0,10.1071,98.0,5831196672.0,5831196672.0,5831196672.0,0.1888,0.2044,0.1888,0.1604
7,4.0497,0.1,5.8517,3.95,10750812160.0,0.0,2899968.0,1124251316.0,77.219,155.424,30.6207,34.0,10.4655,99.0,5831196672.0,5831196672.0,5831196672.0,0.2023,0.2128,0.2023,0.1771
8,3.9781,0.1,5.6316,4.1063,10750914560.0,0.0,3268608.0,1124251316.0,77.6925,143.703,30.8036,35.0,10.5357,98.0,5831196672.0,5831196672.0,5831196672.0,0.205,0.2316,0.205,0.1847
9,3.9091,0.1,5.8321,3.925,10750980096.0,0.0,950272.0,1124251316.0,79.1744,164.488,30.8793,35.0,10.1724,99.0,5831196672.0,5831196672.0,5831196672.0,0.2401,0.2619,0.2401,0.2151
10,3.8502,0.1,5.7453,4.1437,10751045632.0,0.0,126976.0,1124251316.0,79.6221,163.533,31.0877,35.0,12.0175,98.0,5831196672.0,5831196672.0,5831196672.0,0.2175,0.262,0.2175,0.1976
