Phase,Epoch,Elapsed Time Seconds,Cpu Usage Percent,Ram Usage Bytes,Vram Usage Bytes,Accuracy,Precision,Recall,F1 Score,model_name,config_path,train_data_path,val_data_path,model_params,train_params,inference_params
Training,1,23.5301,-5.3,-16707584.0,2490368.0,0.0035,1.0,0.0035,0.007,mobilenet_v1,configs/local_test_config.yaml,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\train,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\val,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Training,2,23.7058,-6.0,-15892480.0,-3801088.0,0.0049,1.0,0.0049,0.0098,mobilenet_v1,configs/local_test_config.yaml,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\train,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\val,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Save Model,,511.4675,2.6,515641344.0,689364992.0,,,,,mobilenet_v1,configs/local_test_config.yaml,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\train,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\val,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
Inference,,23.2784,1.2,-387559424.0,-1310720.0,0.0049,1.0,0.0049,0.0098,mobilenet_v1,configs/local_test_config.yaml,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\train,C:\Users\Eduardo\OneDrive\AreaDeTrabalho\UFRGS\AvalDesempenho\CNNs-Performance-Analysis\data\tiny-imagenet-200\val,{'num_classes': 200},"{'epochs': 2, 'batch_size': 8, 'learning_rate': 0.001}",{'batch_size': 16}
