model_name,seed,config_path,train_data_path,val_data_path,model_params,train_params,inference_params,scheduler_params,lr_base
squeezenet,52,configs/squeezenet_config.yaml,/scratch/ehdmenezes//tiny-imagenet-200/train,/scratch/ehdmenezes//tiny-imagenet-200/val,"{'num_classes': 200}","{'epochs': 100, 'batch_size': 1536, 'learning_rate': 0.1}","{'batch_size': 1536}","{'type': 'StepLR', 'step_size': 30, 'gamma': 0.1}",0.1
epoch,train_loss,lr,elapsed_time_seconds,cpu_usage_percent,ram_peak_bytes,disk_read_bytes,disk_write_bytes,vram_peak_bytes,gpu_power_watts_avg,gpu_power_watts_peak,gpu_temp_celsius_avg,gpu_temp_celsius_peak,gpu_util_percent_avg,gpu_util_percent_peak,gpu_mem_used_bytes_avg,gpu_mem_used_bytes_peak,gpu_vram_used_bytes,val_accuracy,val_precision,val_recall,val_f1
1,5.2938,0.1,3.7789,2.2906,21904564224.0,344064.0,2834432.0,6429543804.0,86.422,210.065,45.5,54.0,18.8889,99.0,18626052096.0,18626052096.0,18626052096.0,0.0056,0.0003,0.0056,0.0004
2,5.2913,0.1,3.9473,2.1219,21907341312.0,0.0,192512.0,6429543804.0,95.91,246.615,45.6579,54.0,17.6579,100.0,18626052096.0,18626052096.0,18626052096.0,0.0062,0.0002,0.0062,0.0003
3,5.2789,0.1,5.2214,2.3406,22981165056.0,0.0,200704.0,6429543804.0,87.2651,255.116,45.2745,54.0,13.902,100.0,18695258112.0,18695258112.0,18695258112.0,0.005,0.0,0.005,0.0
4,5.2996,0.1,3.6355,2.3125,22981238784.0,0.0,266240.0,6429543804.0,100.1177,260.691,46.6857,55.0,22.9143,100.0,18695258112.0,18695258112.0,18695258112.0,0.005,0.0,0.005,0.0
5,5.2987,0.1,4.8883,2.7219,22980935680.0,0.0,192512.0,6429543804.0,97.4667,255.668,45.9574,52.0,14.4255,100.0,18695258112.0,18695258112.0,18695258112.0,0.0047,0.0001,0.0047,0.0001
6,5.2963,0.1,3.4759,2.275,26202243072.0,188416.0,266240.0,6429543804.0,116.9638,247.932,46.8235,53.0,23.9118,99.0,18701549568.0,18701549568.0,18701549568.0,0.0069,0.0003,0.0069,0.0005
7,5.2501,0.1,5.3164,2.575,26202267648.0,0.0,188416.0,6429543804.0,89.3694,256.39,45.8235,54.0,13.6667,99.0,18701549568.0,18701549568.0,18701549568.0,0.0092,0.0002,0.0092,0.0003
8,5.2258,0.1,5.1977,2.5719,26202361856.0,0.0,229376.0,6429543804.0,92.1819,243.454,45.94,55.0,13.62,100.0,18701549568.0,18701549568.0,18701549568.0,0.0104,0.0002,0.0104,0.0004
9,5.2098,0.1,3.7949,2.1094,26202468352.0,0.0,0.0,6429543804.0,108.2854,262.369,46.8108,53.0,20.5676,99.0,19741736960.0,19741736960.0,19741736960.0,0.0118,0.0009,0.0118,0.0016
10,5.1908,0.1,3.775,2.0844,26202517504.0,0.0,122880.0,6429543804.0,100.2589,257.581,46.8919,54.0,21.0541,100.0,19741736960.0,19741736960.0,19741736960.0,0.0147,0.001,0.0147,0.0017
11,5.174,0.1,3.8771,2.4188,28350099456.0,0.0,57344.0,6429543804.0,105.5096,260.704,47.1081,55.0,20.6757,88.0,19745931264.0,19745931264.0,19745931264.0,0.0149,0.0032,0.0149,0.0029
12,5.1409,0.1,5.0789,2.5969,28350128128.0,0.0,364544.0,6429543804.0,87.0313,242.379,46.1,53.0,13.4,99.0,19745931264.0,19745931264.0,19745931264.0,0.0157,0.0031,0.0157,0.0038
13,5.1011,0.1,3.8747,2.1781,28350152704.0,0.0,0.0,6429543804.0,93.9801,243.699,47.0811,55.0,18.5676,100.0,19745931264.0,19745931264.0,19745931264.0,0.0199,0.0041,0.0199,0.0046
14,5.0683,0.1,3.7338,2.2938,28353765376.0,0.0,176128.0,6429543804.0,108.2232,243.247,47.5556,55.0,19.5278,99.0,19745931264.0,19745931264.0,19745931264.0,0.0261,0.0069,0.0261,0.0075
15,5.0412,0.1,3.7749,2.3188,28355477504.0,0.0,122880.0,6429543804.0,99.2472,262.716,47.1111,54.0,18.8889,100.0,19745931264.0,19745931264.0,19745931264.0,0.0291,0.0092,0.0291,0.0086
16,5.0213,0.1,3.5742,2.35,28356448256.0,0.0,184320.0,6429543804.0,102.5325,242.634,47.5588,56.0,21.4118,100.0,19745931264.0,19745931264.0,19745931264.0,0.0285,0.0168,0.0285,0.0107
17,4.9943,0.1,4.0698,2.1187,28356468736.0,0.0,118784.0,6429543804.0,93.2194,256.114,46.4103,55.0,19.7949,100.0,19745931264.0,19745931264.0,19745931264.0,0.0387,0.0191,0.0387,0.0137
18,4.951,0.1,5.1824,2.6594,28361584640.0,0.0,180224.0,6429543804.0,95.1414,247.085,46.34,55.0,15.46,94.0,19745931264.0,19745931264.0,19745931264.0,0.0399,0.0327,0.0399,0.0194
19,4.9321,0.1,5.4016,2.5906,28366258176.0,0.0,143360.0,6429543804.0,86.3416,250.428,46.1731,54.0,14.0769,99.0,19745931264.0,19745931264.0,19745931264.0,0.0373,0.0257,0.0373,0.0195
20,4.9007,0.1,3.8772,2.2156,28367990784.0,0.0,0.0,6429543804.0,98.3194,262.111,47.0,55.0,20.2162,100.0,19745931264.0,19745931264.0,19745931264.0,0.0395,0.0282,0.0395,0.0203
21,4.8833,0.1,4.0112,2.1812,28371464192.0,0.0,4096.0,6429543804.0,95.4058,244.042,46.6053,56.0,19.7368,100.0,19745931264.0,19745931264.0,19745931264.0,0.0214,0.0089,0.0214,0.0085
22,5.0022,0.1,4.0961,2.1281,28375732224.0,0.0,20480.0,6429543804.0,99.673,243.413,46.7692,56.0,18.1538,100.0,19745931264.0,19745931264.0,19745931264.0,0.0452,0.0339,0.0452,0.0258
23,4.8908,0.1,5.5609,2.2969,28377071616.0,0.0,192512.0,6429543804.0,80.6563,244.617,46.0,55.0,12.5556,100.0,19745931264.0,19745931264.0,19745931264.0,0.0457,0.0305,0.0457,0.0251
24,4.8481,0.1,3.6124,2.1875,28380794880.0,57344.0,16384.0,6429543804.0,106.5929,257.216,47.0857,55.0,19.6571,100.0,19745931264.0,19745931264.0,19745931264.0,0.058,0.0414,0.058,0.0313
25,4.8346,0.1,3.8859,2.2125,28380811264.0,0.0,4096.0,6429543804.0,99.7259,236.585,47.0541,54.0,17.2973,100.0,19745931264.0,19745931264.0,19745931264.0,0.0394,0.0343,0.0394,0.019
26,4.8391,0.1,4.1331,2.2969,28382035968.0,0.0,0.0,6429543804.0,91.2675,241.278,46.9487,55.0,17.6667,100.0,19745931264.0,19745931264.0,19745931264.0,0.0602,0.0575,0.0602,0.0356
27,4.7773,0.1,4.2113,2.1531,28382117888.0,0.0,135168.0,6429543804.0,100.6495,241.357,47.0732,56.0,18.0244,100.0,19745931264.0,19745931264.0,19745931264.0,0.0774,0.0783,0.0774,0.0539
28,4.7422,0.1,5.7779,2.7031,28382162944.0,0.0,196608.0,6429543804.0,93.7211,252.254,46.5714,55.0,12.375,100.0,19745931264.0,19745931264.0,19745931264.0,0.0646,0.053,0.0646,0.0394
29,4.7133,0.1,3.3645,2.3312,28382212096.0,114688.0,184320.0,6429543804.0,107.9879,257.703,47.9394,56.0,22.7273,100.0,19745931264.0,19745931264.0,19745931264.0,0.0747,0.0715,0.0747,0.0494
30,4.704,0.01,4.2035,2.0594,28382248960.0,0.0,139264.0,6429543804.0,94.1613,247.523,47.3,57.0,18.125,100.0,19745931264.0,19745931264.0,19745931264.0,0.0701,0.062,0.0701,0.0474
31,4.6,0.01,4.0045,2.1688,28382277632.0,0.0,143360.0,6429543804.0,98.2551,249.32,47.3947,54.0,20.2105,100.0,19745931264.0,19745931264.0,19745931264.0,0.1054,0.08,0.1054,0.0773
32,4.5619,0.01,4.0808,2.1125,28382294016.0,0.0,16384.0,6429543804.0,104.4047,247.67,47.5897,56.0,20.4103,100.0,19745931264.0,19745931264.0,19745931264.0,0.106,0.0792,0.106,0.0768
